date,amount,moving_avg,daily_change,weekly_change
2025-03-26,21.41642503942,,0.0,
2025-03-27,8.273083011659999,,-61.370382795297516,
2025-03-28,7737.090101763309,,93421.243421089,
2025-03-29,984.9248973049027,,-87.27008624236603,
2025-03-30,1.05553679958,,-99.89283073232606,
2025-03-31,1846.4466344110533,,174829.6315529461,
2025-04-01,0.8973,1514.3005683328465,-99.95140395702332,
2025-04-02,0.018,1511.2436504700722,-97.99398194583752,-99.9159523591502
